Order Date,Region,Category,Sub-Category,Customer Name,Quantity,Sales,Discount,Profit
2024-06-02,South,Office Supplies,Storage,Customer 42,2,22.78,0.4,-4.11
2024-05-08,East,Technology,Copiers,Customer 108,3,422.13,0.4,-124.8
2023-06-11,South,Office Supplies,Art,Customer 32,3,17.07,0.0,4.68
2023-01-01,Central,Office Supplies,Labels,Customer 105,4,67.49,0.2,20.09
2024-07-26,West,Furniture,Chairs,Customer 14,3,73.69,0.1,14.56
2023-05-04,West,Furniture,Furnishings,Customer 58,9,376.62,0.0,123.5
2024-02-28,South,Office Supplies,Storage,Customer 116,6,22.23,0.0,4.26
2024-12-10,East,Office Supplies,Art,Customer 72,10,45.75,0.15,-7.71
2023-01-09,South,Furniture,Tables,Customer 79,2,76.65,0.3,-7.97
2023-05-08,Central,Furniture,Bookcases,Customer 11,5,302.73,0.2,-2.47
2023-11-04,East,Furniture,Tables,Customer 61,4,223.51,0.3,17.79
2023-01-12,East,Technology,Accessories,Customer 103,2,123.15,0.0,39.28
2024-03-14,Central,Office Supplies,Art,Customer 26,12,174.99,0.0,-12.73
2024-09-26,West,Office Supplies,Paper,Customer 27,12,163.67,0.2,7.39
2024-12-29,East,Technology,Machines,Customer 46,4,397.17,0.0,6.95
2023-05-09,West,Furniture,Chairs,Customer 33,8,896.05,0.15,-27.19
2024-07-14,Central,Office Supplies,Paper,Customer 101,1,19.1,0.15,-1.21
2024-11-24,Central,Office Supplies,Storage,Customer 84,3,41.61,0.3,4.45
2024-06-27,Central,Office Supplies,Art,Customer 58,6,45.31,0.15,-2.65
2024-10-29,East,Office Supplies,Binders,Customer 32,5,29.93,0.15,0.26
2024-04-29,South,Office Supplies,Paper,Customer 48,11,142.1,0.0,12.03
2023-07-23,Central,Office Supplies,Storage,Customer 44,1,10.47,0.3,-0.28
2024-12-10,Central,Furniture,Bookcases,Customer 39,11,464.56,0.4,8.21
2023-08-02,Central,Office Supplies,Binders,Customer 40,1,14.82,0.1,2.66
2024-10-04,East,Furniture,Bookcases,Customer 76,6,436.5,0.1,80.27
2023-09-08,West,Technology,Phones,Customer 110,11,1291.1,0.0,344.47
2023-10-10,East,Office Supplies,Paper,Customer 27,10,176.93,0.0,3.1
2023-06-20,South,Office Supplies,Paper,Customer 31,6,10.71,0.1,1.71
2024-02-15,West,Technology,Phones,Customer 80,11,848.23,0.0,62.49
2023-09-10,Central,Furniture,Chairs,Customer 106,9,586.96,0.0,-20.76
2023-07-12,West,Office Supplies,Art,Customer 89,7,11.67,0.1,0.39
2024-06-28,South,Technology,Phones,Customer 32,5,536.16,0.0,119.18
2023-07-10,East,Technology,Accessories,Customer 35,2,27.66,0.2,3.43
2024-06-29,West,Furniture,Bookcases,Customer 110,12,919.24,0.1,64.6
2024-06-12,East,Furniture,Chairs,Customer 33,3,198.78,0.0,43.13
2023-07-12,Central,Office Supplies,Art,Customer 13,12,93.19,0.1,15.59
2024-11-30,West,Office Supplies,Binders,Customer 27,6,31.08,0.3,-1.19
2024-08-20,East,Office Supplies,Art,Customer 25,8,104.86,0.1,34.28
2023-08-23,Central,Furniture,Tables,Customer 61,10,734.07,0.1,20.78
2023-02-17,West,Office Supplies,Labels,Customer 74,13,160.23,0.3,8.12
2023-03-15,West,Office Supplies,Labels,Customer 90,7,125.36,0.3,-11.88
2024-12-16,East,Technology,Accessories,Customer 81,6,183.69,0.2,-5.09
2024-04-04,Central,Office Supplies,Labels,Customer 119,11,160.58,0.3,31.86
2023-01-08,South,Furniture,Chairs,Customer 95,4,230.69,0.15,37.17
2024-07-18,South,Furniture,Bookcases,Customer 94,1,85.79,0.1,6.9
2024-09-23,West,Office Supplies,Paper,Customer 69,9,126.29,0.1,3.48
2024-05-31,East,Technology,Accessories,Customer 23,10,1530.7,0.1,559.48
2023-07-02,West,Technology,Copiers,Customer 43,9,456.58,0.2,72.06
2023-06-05,South,Furniture,Bookcases,Customer 52,9,692.63,0.0,157.21
2024-10-21,West,Office Supplies,Storage,Customer 101,10,252.35,0.15,-17.2
2024-10-20,West,Technology,Machines,Customer 22,2,115.81,0.2,20.7
